VID,Type,Brand,Model,Year,Seats,Range,Quantity,Price,Description
6ad2ea07-102e-48c9-a11d-c22e8bee955e,SUV,Volkswagen,ID.4,2025,5,385,1,39735.00,"Engines: Electric
CC/Battery Capacity kwh: 77
HorsePower: 201
Top Speed km/h: 160
Performance(0 - 100 )KM/H: 7.8
Torque: 310 Nm"
6ffbf144-bab9-47f8-b689-457f3c157c82,SUV,GMC,Hummer EV SUV Edition 1,2025,5,1000,1,96550.00,"Engines: Electric motors with up to 11,500 lb-ft torque
CC/Battery Capacity kwh: 200
HorsePower: 830
Top Speed km/h: 170
Performance(0 - 100 )KM/H: 3.5
Torque: 15,590 Nm"
712a13cc-8457-415c-9a41-4e4f48807446,Compact,Volkswagen,Up! e-up!,2023,4,161,10,23000.00,"Engines: Electric
CC/Battery Capacity kwh: 32.3
HorsePower: 83
Top Speed km/h: 130
Performance(0 - 100 )KM/H: 11.9
Torque: 210 Nm"
73fbc8bb-b276-480c-80a4-2ee762d875c3,SUV,GMC,Hummer EV SUV Extreme Off-Road,2025,5,1000,3,110000.00,"Engines: Electric motors with up to 11,500 lb-ft torque
CC/Battery Capacity kwh: 200
HorsePower: 830
Top Speed km/h: 170
Performance(0 - 100 )KM/H: 3.6
Torque: 15,590 Nm"
7aa04e54-f7ed-4b29-b633-fc63426d5d20,Crossover,Volkswagen,ID. Buzz,2025,7,385,4,59995.00,"Engines: Electric
CC/Battery Capacity kwh: 77
HorsePower: 204
Top Speed km/h: 145
Performance(0 - 100 )KM/H: 10.2
Torque: 310 Nm"
801cfbb8-8597-44a3-a83a-29bea736cf67,Crossover,Kia,EV6 First Edition AWD,2025,5,387,3,62000.00,"Engines: Electric Motor
CC/Battery Capacity kwh: 77.4
HorsePower: 320
Top Speed km/h: 230
Performance(0 - 100 )KM/H: 5
Torque: 450 Nm"
802e1a9a-98c0-4fd9-86e9-55b06497f4ea,Crossover,Porsche,Taycan Cross Turismo,2025,5,467,10,97700.00,"Engines: Dual Electric Motors
CC/Battery Capacity kwh: 93.4
HorsePower: 469
Top Speed km/h: 220
Performance(0 - 100 )KM/H: 4.8
Torque: 500 Nm"
83bbcbae-23b6-4e53-8ec7-3276ce338fc5,Sedan,Porsche,Taycan Base,2025,4,396,8,86700.00,"Engines: Dual Electric Motors
CC/Battery Capacity kwh: 79.2
HorsePower: 321
Top Speed km/h: 230
Performance(0 - 100 )KM/H: 5.4
Torque: 345 Nm"
8728f903-8734-449f-add5-848e67a759e3,Truck,GMC,Hummer EV Omega Edition,2025,5,1000,2,112700.00,"Engines: Electric motors with up to 11,500 lb-ft torque
CC/Battery Capacity kwh: 200
HorsePower: 1,000
Top Speed km/h: 170
Performance(0 - 100 )KM/H: 3
Torque: 15,590 Nm"
87df95c3-4381-4c3a-acad-1e3faeac9baf,Sports Car,Tesla,Roadster 2,2025,4,1000,3,200000.00,"Engines: Quad Electric Motors
CC/Battery Capacity kwh: 200
HorsePower: 1,288
Top Speed km/h: 402
Performance(0 - 100 )KM/H: 1.9
Torque: 10,000 Nm"
88ec4fa9-01dc-41d8-bb1a-69b1e842c284,Luxury,Jaguar Land Rover,Jaguar I-PACE First Edition,2025,5,450,10,85000.00,"Engines: Electric (Dual Motor)
CC/Battery Capacity kwh: 90
HorsePower: 400
Top Speed km/h: 200
Performance(0 - 100 )KM/H: 4.5
Torque: 696 Nm"
8d510876-f535-485e-b326-fc018f43a082,Hatchback,Chevrolet,Bolt EV Premier,2025,5,330,8,31700.00,"Engines: Single Electric Motor
CC/Battery Capacity kwh: 66
HorsePower: 200
Top Speed km/h: 150
Performance(0 - 100 )KM/H: 6.5
Torque: 360 Nm"
8db5fdf5-d755-4ea5-a9f7-a157d6c58ed1,Crossover,Peugeot,Partner Electric,2025,5,250,6,40000.00,"Engines: Electric Motor
CC/Battery Capacity kwh: 50
HorsePower: 136
Top Speed km/h: 130
Performance(0 - 100 )KM/H: 9
Torque: 260 Nm"
8e0322a3-2863-43f4-bad7-84f1a8185ff3,Crossover,Peugeot,Expert Electric,2025,5,250,9,45000.00,"Engines: Electric Motor
CC/Battery Capacity kwh: 50
HorsePower: 136
Top Speed km/h: 130
Performance(0 - 100 )KM/H: 9.5
Torque: 260 Nm"
919280ce-60a5-477d-9ce3-c02ec7288e6b,Truck,GMC,Hummer EV Pickup,2025,5,1060,6,108700.00,"Engines: Dual-Motor Electric
CC/Battery Capacity kwh: 212
HorsePower: 625
Top Speed km/h: 170
Performance(0 - 100 )KM/H: 3
Torque: 1000+ Nm"
92a5569d-15b1-4393-9455-da88b803a174,SUV,Porsche,Macan EV,2025,5,475,6,85000.00,"Engines: Dual Electric Motors
CC/Battery Capacity kwh: 95
HorsePower: 603
Top Speed km/h: 240
Performance(0 - 100 )KM/H: 4
Torque: 750 Nm"
